答案1: 21
答案3253: 7/48
答案3254: 15
答案3255: 4/13
答案3256: 7/72
答案3257: 1/4
答案3258: 16
答案3259: 5/9
答案3260: 3
答案3261: 11
答案3262: 9
答案3263: 2/5
答案3264: 1/2
答案3265: 3
答案3266: 5
答案3267: 1/3
答案3268: 12
答案3269: 5
答案3270: 5/14
答案3271: 17
答案3272: 14
答案3273: 8
答案3274: 9
答案3275: 15
答案3276: 20
答案3277: 8
答案3278: 7/27
答案3279: 18
答案3280: 19
答案3281: 2/7
答案3282: 1/32
答案3283: 8
答案3284: 1
答案3285: 8
答案3286: 4/15
答案3287: 15
答案3288: 3
答案3289: 4
答案3290: 8
答案3291: 1
答案3292: 2
答案3293: 10
答案3294: 5
答案3295: 5/28
答案3296: 7
答案3297: 6
答案3298: 5
答案3299: 4
答案3300: 3
答案3301: 1
答案3302: 17
答案3303: 2
答案3304: 1
答案3305: 8/567
答案3306: 20
答案3307: 7/90
答案3308: 8/189
答案3309: 5/8
答案3310: 37/70
答案3311: 7/12
答案3312: 36
答案3313: 9
答案3314: 24
答案3315: 13
答案3316: 1/3
答案3317: 11
答案3318: 5
答案3319: 7
答案3320: 10
答案3321: 3
答案3322: 5/21
答案3323: 2/21
答案3324: 4/63
答案3325: 2/245
答案3326: 4
答案3327: 0
答案3328: 1/18
答案3329: 5
答案3330: 5/14
答案3331: 7
答案3332: 4
答案3333: 4
答案3334: 14
答案3335: 12
答案3336: 3/4
答案3337: 4/7
答案3338: 3/8
答案3339: 1/4
答案3340: 3
答案3341: 3/16
答案3342: 3/20
答案3343: 10
答案3344: 1/8
答案3345: 8
答案3346: 3/28
答案3347: 7
答案3348: 16
答案3349: 24
答案3350: 20/21
答案3351: 40
答案3352: 1/90
答案3353: 64
答案3354: 72
答案3355: 3/4
答案3356: 1/60
答案3357: 2/15
答案3358: 2/3
答案3359: 3
答案3360: 7
答案3361: 10
答案3362: 6
答案3363: 1/25
答案3364: 5
答案3365: 14
答案3366: 4
答案3367: 2
答案3368: 4
答案3369: 6
答案3370: 2
答案3371: 3/20
答案3372: 1
答案3373: 5
答案3374: 6
答案3375: 2
答案3376: 8
答案3377: 8
答案3378: 4
答案3379: 6
答案3380: 7/8
答案3381: 3/14
答案3382: 3
答案3383: 5
答案3384: 3
答案3385: 11
答案3386: 7
答案3387: 5/24
答案3388: 5/216
答案3389: 16
答案3390: 1/2
答案3391: 5
答案3392: 5/24
答案3393: 5/48
答案3394: 5/42
答案3395: 1
答案3396: 16/135
答案3397: 11
答案3398: 1/8
答案3399: 7
答案3400: 6
答案3401: 2
答案3402: 4/9
答案3403: 8/15
答案3404: 13
答案3405: 10
答案3406: 5/48
答案3407: 3
答案3408: 2/7
答案3409: 5
答案3410: 3
答案3411: 7
答案3412: 1
答案3413: 11
答案3414: 1/40
答案3415: 6
答案3416: 5
答案3417: 8
答案3418: 1/45
答案3419: 1/25
答案3420: 3
答案3421: 17
答案3422: 1/98
答案3423: 44
答案3424: 14
答案3425: 4/5
答案3426: 4
答案3427: 11/14
答案3428: 4/45
答案3429: 1/4
答案3430: 5/9
答案3431: 5/8
答案3432: 5/7
答案3433: 5/6
答案3434: 15
答案3435: 5
答案3436: 4
答案3437: 10
答案3438: 5
答案3439: 3
答案3440: 5/6
答案3441: 1/2
答案3442: 1/24
答案3443: 1/315
答案3444: 4/63
答案3445: 20/147
答案3446: 19
答案3447: 3/32
答案3448: 18
答案3449: 9
答案3450: 20
答案3451: 15
答案3452: 14
答案3453: 14
答案3454: 5/27
答案3455: 17
答案3456: 16
答案3457: 13
答案3458: 9
答案3459: 5/72
答案3460: 5
答案3461: 2
答案3462: 5/96
答案3463: 3/8
答案3464: 2
答案3465: 11
答案3466: 3
答案3467: 5/9
答案3468: 5/8
答案3469: 2/21
答案3470: 18
答案3471: 11/63
答案3472: 15
答案3473: 5/7
答案3474: 6
答案3475: 3
答案3476: 5/6
答案3477: 5
答案3478: 5/27
答案3479: 1/162
答案3480: 4
答案3481: 3
答案3482: 11/400
答案3483: 6
答案3484: 7
答案3485: 6
答案3486: 8
答案3487: 5
答案3488: 1/42
答案3489: 7
答案3490: 9
答案3491: 11
答案3492: 1/105
答案3493: 1
答案3494: 1/15
答案3495: 5/12
答案3496: 1
答案3497: 5/9
答案3498: 5/6
答案3499: 3/10
答案3500: 5/24
答案3501: 5/21
答案3502: 5/18
答案3503: 1/3
答案3504: 2/9
答案3505: 3/112
答案3506: 4/7
答案3507: 1/7
答案3508: 3
答案3509: 1/36
答案3510: 5
答案3511: 6
答案3512: 9
答案3513: 1/2
答案3514: 10
答案3515: 11
答案3516: 7
答案3517: 7/36
答案3518: 12
答案3519: 9
答案3520: 13
答案3521: 6
答案3522: 1/24
答案3523: 1/8
答案3524: 1/4
答案3525: 17
答案3526: 10
答案3527: 9/32
答案3528: 13
答案3529: 14
答案3530: 15
答案3531: 1/7
答案3532: 6
答案3533: 16
答案3534: 13
答案3535: 11
答案3536: 13
答案3537: 1/8
答案3538: 5
答案3539: 8
答案3540: 1/8
答案3541: 1/27
答案3542: 7
答案3543: 3
答案3544: 4
答案3545: 7
答案3546: 7/9
答案3547: 6/7
答案3548: 3/7
答案3549: 2
答案3550: 1/48
答案3551: 3/16
答案3552: 1/24
答案3553: 1/378
答案3554: 13
答案3555: 1/6
答案3556: 1/9
答案3557: 14
答案3558: 10
答案3559: 11
答案3560: 12
答案3561: 1/27
答案3562: 6
答案3563: 7
答案3564: 15/64
答案3565: 10
答案3566: 9
答案3567: 1/16
答案3568: 14
答案3569: 5/9
答案3570: 5/7
答案3571: 5/6
答案3572: 12
答案3573: 5/288
答案3574: 4
答案3575: 16
答案3576: 1
答案3577: 2/3
答案3578: 1/32
答案3579: 4/81
答案3580: 1/27
答案3581: 8/63
答案3582: 11
答案3583: 2
答案3584: 5/63
答案3585: 5
答案3586: 7
答案3587: 4/5
答案3588: 18
答案3589: 2
答案3590: 2
答案3591: 13
答案3592: 9
答案3593: 7/540
答案3594: 6/25
答案3595: 2/49
答案3596: 11
答案3597: 3/32
答案3598: 13
答案3599: 9
答案3600: 1/20
答案3601: 10
答案3602: 12
答案3603: 7
答案3604: 8
答案3605: 5
答案3606: 8/9
答案3607: 6
答案3608: 3
答案3609: 4
答案3610: 5/8
答案3611: 3
答案3612: 3/4
答案3613: 4/5
答案3614: 14
答案3615: 3/7
答案3616: 15
答案3617: 15
答案3618: 2/5
答案3619: 8/35
答案3620: 27/140
答案3621: 1/4
答案3622: 8
答案3623: 9
答案3624: 9/80
答案3625: 13
答案3626: 13
答案3627: 4/225
答案3628: 15/16
答案3629: 2
答案3630: 4/5
答案3631: 12
答案3632: 7
答案3633: 8
答案3634: 9
答案3635: 4/9
答案3636: 3
答案3637: 4
答案3638: 5
答案3639: 12
答案3640: 6
答案3641: 11
答案3642: 14
答案3643: 12
答案3644: 17
答案3645: 5/24
答案3646: 1
答案3647: 8/9
答案3648: 12
答案3649: 24
答案3650: 12/35
答案3651: 6
答案3652: 7/16
答案3653: 6
答案3654: 1
答案3655: 1
答案3656: 5/6
答案3657: 4
答案3658: 16
答案3659: 10
答案3660: 5/9
答案3661: 2
答案3662: 5
答案3663: 7
答案3664: 2/9
答案3665: 1/5
答案3666: 67/84
答案3667: 13
答案3668: 7/8
答案3669: 3/14
答案3670: 10
答案3671: 4/9
答案3672: 3/7
答案3673: 2
答案3674: 2/21
答案3675: 5/9
答案3676: 3
答案3677: 13
答案3678: 12
答案3679: 13
答案3680: 10
答案3681: 11
答案3682: 15
答案3683: 3/5
答案3684: 5
答案3685: 3
答案3686: 7/108
答案3687: 8
答案3688: 7/72
答案3689: 31/90
答案3690: 9
答案3691: 10/27
答案3692: 14
答案3693: 7
答案3694: 6
答案3695: 7
答案3696: 1/90
答案3697: 12
答案3698: 1/30
答案3699: 9/10
答案3700: 1/75
答案3701: 8
答案3702: 1/40
答案3703: 8/27
答案3704: 9/100
答案3705: 3/28
答案3706: 1/27
答案3707: 1/8
答案3708: 3/4
答案3709: 1/3
答案3710: 1/5
答案3711: 1/16
答案3712: 3/7
答案3713: 1/2
答案3714: 8
答案3715: 5/72
答案3716: 4/7
答案3717: 1/112
答案3718: 5/56
答案3719: 5/64
答案3720: 31/63
答案3721: 1/8
答案3722: 5/48
答案3723: 11
答案3724: 1/504
答案3725: 1/7
答案3726: 8/9
答案3727: 7
答案3728: 1/336
答案3729: 2/9
答案3730: 13
答案3731: 3/14
答案3732: 6
答案3733: 1/18
答案3734: 12
答案3735: 11
答案3736: 15
答案3737: 17
答案3738: 9
答案3739: 17
答案3740: 9
答案3741: 5/24
答案3742: 3
答案3743: 2
答案3744: 5/32
答案3745: 18
答案3746: 5/8
答案3747: 5
答案3748: 5/16
答案3749: 1/42
答案3750: 3
答案3751: 6
答案3752: 7/9
答案3753: 6/7
答案3754: 7
答案3755: 7/45
答案3756: 7/18
答案3757: 3
答案3758: 2/7
答案3759: 1/21
答案3760: 4/7
答案3761: 1/18
答案3762: 1/7
答案3763: 1/24
答案3764: 2/21
答案3765: 1/9
答案3766: 1/6
答案3767: 1/14
答案3768: 15
答案3769: 10/343
答案3770: 4/49
答案3771: 1/12
答案3772: 31/32
答案3773: 4/63
答案3774: 1/3
答案3775: 5/28
答案3776: 13
答案3777: 20
答案3778: 12
答案3779: 8/9
答案3780: 10
答案3781: 9
答案3782: 8
答案3783: 18
答案3784: 2/21
答案3785: 4
答案3786: 1/7
答案3787: 2/7
答案3788: 3
答案3789: 9/49
答案3790: 5
答案3791: 1/28
答案3792: 6
答案3793: 3
答案3794: 1/18
答案3795: 3/4
答案3796: 7/32
答案3797: 7/24
答案3798: 7/16
答案3799: 9
答案3800: 15
答案3801: 1
答案3802: 2
答案3803: 7/9
答案3804: 7/72
答案3805: 7/81
答案3806: 29
答案3807: 7/8
答案3808: 5
答案3809: 3/4
答案3810: 1/28
答案3811: 16
答案3812: 17
答案3813: 3
答案3814: 4
答案3815: 19
答案3816: 1
答案3817: 1/3
答案3818: 15/56
答案3819: 13
答案3820: 7/162
答案3821: 7
答案3822: 3
答案3823: 2
答案3824: 4/5
答案3825: 3
答案3826: 4
答案3827: 3
答案3828: 3/7
答案3829: 2
答案3830: 1
答案3831: 6/7
答案3832: 5/126
答案3833: 9/16
答案3834: 5/6
答案3835: 5
答案3836: 5/72
答案3837: 2
答案3838: 4
答案3839: 15
答案3840: 1/28
答案3841: 3
答案3842: 10
答案3843: 8
答案3844: 1/144
答案3845: 4
答案3846: 25
答案3847: 6
答案3848: 7
答案3849: 35
答案3850: 30
答案3851: 11
答案3852: 45
答案3853: 40
答案3854: 1/28
答案3855: 10/11
答案3856: 4
答案3857: 9
答案3858: 5/54
答案3859: 5/81
答案3860: 7
答案3861: 12
答案3862: 4
答案3863: 11/96
答案3864: 13
答案3865: 1
答案3866: 1
答案3867: 2
答案3868: 8
答案3869: 9
答案3870: 5
答案3871: 6
答案3872: 3
答案3873: 5/216
答案3874: 5/33
答案3875: 5
答案3876: 4
答案3877: 1/12
答案3878: 1/8
答案3879: 19
答案3880: 16
答案3881: 10/27
答案3882: 14
答案3883: 15
答案3884: 1/21
答案3885: 13
答案3886: 1/8
答案3887: 7/18
答案3888: 4/5
答案3889: 2/5
答案3890: 20
答案3891: 13
答案3892: 19
答案3893: 3/5
答案3894: 6/25
答案3895: 16
答案3896: 3
答案3897: 15
答案3898: 3/10
答案3899: 1/18
答案3900: 1/5
答案3901: 5
答案3902: 1/42
答案3903: 5
答案3904: 3/4
答案3905: 5/56
答案3906: 8
答案3907: 2/15
答案3908: 3/20
答案3909: 12
答案3910: 16
答案3911: 6/25
答案3912: 3/40
答案3913: 12
答案3914: 3/5
答案3915: 10
答案3916: 13
答案3917: 3
答案3918: 1/8
答案3919: 5/162
答案3920: 15
答案3921: 13
答案3922: 13
答案3923: 15
答案3924: 3/8
答案3925: 14
答案3926: 6/7
答案3927: 1
答案3928: 4
答案3929: 1
答案3930: 4/7
答案3931: 5
答案3932: 6
答案3933: 2
答案3934: 2/3
答案3935: 3/40
答案3936: 4
答案3937: 14
答案3938: 15
答案3939: 15
答案3940: 33
答案3941: 16
答案3942: 12
答案3943: 1
答案3944: 17
答案3945: 5
答案3946: 10
答案3947: 11
答案3948: 9
答案3949: 12
答案3950: 13
答案3951: 18
答案3952: 2/3
答案3953: 9
答案3954: 2/49
答案3955: 3/8
答案3956: 3/13
答案3957: 11/12
答案3958: 18
答案3959: 5
答案3960: 4
答案3961: 8
答案3962: 10
答案3963: 7
答案3964: 6
答案3965: 12
答案3966: 7
答案3967: 6
答案3968: 13
答案3969: 16
答案3970: 9
答案3971: 11
答案3972: 8
答案3973: 16
答案3974: 1/18
答案3975: 14
答案3976: 1/8
答案3977: 15
答案3978: 4
答案3979: 8
答案3980: 5/12
答案3981: 9
答案3982: 9
答案3983: 4/147
答案3984: 3
答案3985: 10
答案3986: 1
答案3987: 9
答案3988: 12
答案3989: 11
答案3990: 5
答案3991: 8
答案3992: 4/21
答案3993: 7
答案3994: 2/7
答案3995: 10
答案3996: 13
答案3997: 15
答案3998: 9
答案3999: 14
答案4000: 3/35
答案4001: 2
答案4002: 1/2
答案4003: 2
答案4004: 2/3
答案4005: 10
答案4006: 9
答案4007: 8
答案4008: 7
答案4009: 1/21
答案4010: 6
答案4011: 5
答案4012: 8/27
答案4013: 4
答案4014: 8
答案4015: 9/128
答案4016: 3
答案4017: 2/3
答案4018: 5
答案4019: 12
答案4020: 11
答案4021: 5
答案4022: 13
答案4023: 9
答案4024: 6
答案4025: 8/35
答案4026: 15
答案4027: 6
答案4028: 17
答案4029: 15
答案4030: 19
答案4031: 5/8
答案4032: 8/625
答案4033: 19
答案4034: 1
答案4035: 7/9
答案4036: 3
答案4037: 18
答案4038: 5
答案4039: 20
答案4040: 7/720
答案4041: 2
答案4042: 9
答案4043: 10
答案4044: 5
答案4045: 5/126
答案4046: 5/84
答案4047: 4
答案4048: 5/189
答案4049: 1/2
答案4050: 15
答案4051: 5/7
答案4052: 3
答案4053: 4
答案4054: 18
答案4055: 6
答案4056: 7
答案4057: 2
答案4058: 8
答案4059: 5/16
答案4060: 2
答案4061: 5/8
答案4062: 18
答案4063: 1/6
答案4064: 5/56
答案4065: 7
答案4066: 5/72
答案4067: 5/32
答案4068: 5/24
答案4069: 5/48
答案4070: 1/45
答案4071: 1/8
答案4072: 5/12
答案4073: 1/441
答案4074: 22
答案4075: 4/5
答案4076: 7
答案4077: 25
答案4078: 6
答案4079: 23
答案4080: 19/48
答案4081: 8
答案4082: 9
答案4083: 9/14
答案4084: 1
答案4085: 4/35
答案4086: 2/3
答案4087: 4/45
答案4088: 2
答案4089: 8/105
答案4090: 8/343
答案4091: 11
答案4092: 9
答案4093: 8
答案4094: 3/4
答案4095: 6
答案4096: 5
答案4097: 2/9
答案4098: 9
答案4099: 2
答案4100: 18
答案4101: 17
答案4102: 5
答案4103: 6
答案4104: 7
答案4105: 7
答案4106: 2
答案4107: 3
答案4108: 4
答案4109: 6
答案4110: 3/7
答案4111: 4
答案4112: 2/21
答案4113: 3
答案4114: 15
答案4115: 20
答案4116: 1/5
答案4117: 7/20
答案4118: 3
答案4119: 15/112
答案4120: 13
答案4121: 12
答案4122: 13
答案4123: 5/12
答案4124: 9
答案4125: 13
答案4126: 14
答案4127: 11
答案4128: 11
答案4129: 5/24
答案4130: 5/54
答案4131: 5/42
答案4132: 1/8
答案4133: 2/9
答案4134: 1/243
答案4135: 6
答案4136: 5/18
答案4137: 2/567
答案4138: 7/18
答案4139: 1/120
答案4140: 9/20
答案4141: 7
答案4142: 8
答案4143: 2/9
答案4144: 7
答案4145: 6
答案4146: 4
答案4147: 5
答案4148: 4
答案4149: 3
答案4150: 2
答案4151: 7
答案4152: 6
答案4153: 1/24
答案4154: 7/72
答案4155: 15
答案4156: 17
答案4157: 8/9
答案4158: 13
答案4159: 2/45
答案4160: 18
答案4161: 19
答案4162: 1/6
答案4163: 1/2
答案4164: 9/40
答案4165: 8
答案4166: 3
答案4167: 1/16
答案4168: 19
答案4169: 3/4
答案4170: 1/48
答案4171: 1/20
答案4172: 1/25
答案4173: 7
答案4174: 1/10
答案4175: 2
答案4176: 1/15
答案4177: 1/45
答案4178: 1/30
答案4179: 1/35
答案4180: 32/351
答案4181: 7/192
答案4182: 23/27
答案4183: 11
答案4184: 7/144
答案4185: 1/24
答案4186: 7/72
答案4187: 1/7
答案4188: 1/90
答案4189: 4/49
答案4190: 9
答案4191: 1/40
答案4192: 6
答案4193: 2
答案4194: 7
答案4195: 1/40
答案4196: 4
答案4197: 7
答案4198: 1/18
答案4199: 5/72
答案4200: 4/441
答案4201: 12
答案4202: 13
答案4203: 8
答案4204: 15
答案4205: 24/35
答案4206: 14
答案4207: 1/18
答案4208: 1/24
答案4209: 12
答案4210: 8
答案4211: 11
答案4212: 7
答案4213: 2/49
答案4214: 5
答案4215: 8
答案4216: 7/8
答案4217: 1/20
答案4218: 14
答案4219: 17
答案4220: 8
答案4221: 7
答案4222: 11
答案4223: 16
答案4224: 11
答案4225: 2/15
答案4226: 4
答案4227: 14
答案4228: 12
答案4229: 9/112
答案4230: 1
答案4231: 1/4
答案4232: 17
答案4233: 4/21
答案4234: 10/17
答案4235: 1
答案4236: 4
答案4237: 2/27
答案4238: 17
答案4239: 4/45
答案4240: 18
答案4241: 8
答案4242: 1
答案4243: 1/18
答案4244: 1/21
答案4245: 4
答案4246: 1/24
答案4247: 1/27
答案4248: 1/6
答案4249: 1/9
答案4250: 1/12
答案4251: 1/15
答案4252: 8/343
答案4253: 2/49
答案4254: 1/3
答案4255: 4/49
答案4256: 8/49
答案4257: 19
答案4258: 8/9
答案4259: 6/7
答案4260: 8
答案4261: 4/45
答案4262: 1/252
答案4263: 1/8
答案4264: 3/64
答案4265: 1/147
答案4266: 5/7
答案4267: 2/3
答案4268: 2
答案4269: 14
答案4270: 9
答案4271: 1/4
答案4272: 7/40
答案4273: 1/3
答案4274: 1
答案4275: 7/128
答案4276: 2
答案4277: 1
答案4278: 3/4
答案4279: 1/45
答案4280: 11
答案4281: 13
答案4282: 3
答案4283: 12
答案4284: 78
答案4285: 1/80
答案4286: 39
答案4287: 14
答案4288: 1/10
答案4289: 19
答案4290: 18
答案4291: 20
答案4292: 13
答案4293: 1/14
答案4294: 12
答案4295: 17
答案4296: 1/32
答案4297: 16
答案4298: 5/64
答案4299: 3/7
答案4300: 16/35
答案4301: 13
答案4302: 2/21
答案4303: 1/7
答案4304: 4/21
答案4305: 17
答案4306: 18
答案4307: 19
答案4308: 19
答案4309: 17
答案4310: 2
答案4311: 1/15
答案4312: 1/2
答案4313: 14
答案4314: 1/8
答案4315: 17
答案4316: 4
答案4317: 3
答案4318: 2
答案4319: 14
答案4320: 11
答案4321: 3
答案4322: 6
答案4323: 14
答案4324: 15
答案4325: 16
答案4326: 10
答案4327: 17
答案4328: 3/4
答案4329: 18
答案4330: 7/81
答案4331: 5/42
答案4332: 1/9
答案4333: 7/54
答案4334: 7/45
答案4335: 7/36
答案4336: 7/27
答案4337: 11
答案4338: 13
答案4339: 7/18
答案4340: 7/9
答案4341: 13
答案4342: 9
答案4343: 18
答案4344: 11
答案4345: 1/6
答案4346: 8/9
答案4347: 5/162
答案4348: 8
答案4349: 13
答案4350: 6
答案4351: 8
答案4352: 8
答案4353: 11
答案4354: 11
答案4355: 15
答案4356: 10
答案4357: 12
答案4358: 14
答案4359: 2
答案4360: 4/7
答案4361: 15
答案4362: 5
答案4363: 8
答案4364: 20
答案4365: 15
答案4366: 5
答案4367: 8/21
答案4368: 3
答案4369: 2
答案4370: 1
答案4371: 1
答案4372: 1/12
答案4373: 6/7
答案4374: 5
答案4375: 2
答案4376: 5/8
答案4377: 17
答案4378: 8/49
答案4379: 7
答案4380: 1/56
答案4381: 8/189
答案4382: 20
答案4383: 19
答案4384: 2/21
答案4385: 1/35
答案4386: 1/45
答案4387: 17/189
答案4388: 2
答案4389: 4
答案4390: 3/64
答案4391: 1/24
答案4392: 14
答案4393: 4/5
答案4394: 15
答案4395: 7/15
答案4396: 12
答案4397: 1/120
答案4398: 1/2
答案4399: 3/5
答案4400: 6
答案4401: 13
答案4402: 5/8
答案4403: 9
答案4404: 1/2
答案4405: 3
答案4406: 12
答案4407: 28/75
答案4408: 13
答案4409: 7
答案4410: 7
答案4411: 8/15
答案4412: 3/4
答案4413: 4/9
答案4414: 11
答案4415: 1/3
答案4416: 6
答案4417: 3/8
答案4418: 3/7
答案4419: 8
答案4420: 4
答案4421: 18/29
答案4422: 3/64
答案4423: 7/16
答案4424: 3/4
答案4425: 5/18
答案4426: 1/4
答案4427: 7/10
答案4428: 3/4
答案4429: 5
答案4430: 1
答案4431: 7
答案4432: 13
答案4433: 7/288
答案4434: 8/9
答案4435: 4/9
答案4436: 8/63
答案4437: 7/16
答案4438: 8
答案4439: 5/73
答案4440: 4/27
答案4441: 10
答案4442: 8/9
答案4443: 1/4
答案4444: 13/20
答案4445: 1/2
答案4446: 5/6
答案4447: 15
答案4448: 3/4
答案4449: 5/12
答案4450: 4
答案4451: 15
答案4452: 1/160
答案4453: 1/216
答案4454: 12
答案4455: 7
答案4456: 4
答案4457: 1/2
答案4458: 13
答案4459: 10/27
答案4460: 4/7
答案4461: 5/432
答案4462: 9
答案4463: 1/3
答案4464: 1
答案4465: 7
答案4466: 1/20
答案4467: 5/144
答案4468: 1
答案4469: 9
答案4470: 11
答案4471: 12
答案4472: 13
答案4473: 11
答案4474: 10
答案4475: 16
答案4476: 12
答案4477: 3
答案4478: 16
答案4479: 6
答案4480: 1/16
答案4481: 17
答案4482: 5
答案4483: 4
答案4484: 7
答案4485: 2/49
答案4486: 14
答案4487: 1/20
答案4488: 15
答案4489: 16
答案4490: 17
答案4491: 1/2
答案4492: 1/8
答案4493: 23/42
答案4494: 1/3
答案4495: 11
答案4496: 3/8
答案4497: 1/6
答案4498: 12
答案4499: 1
答案4500: 13
答案4501: 18
答案4502: 3
答案4503: 18
答案4504: 19
答案4505: 9
答案4506: 20
答案4507: 8/9
答案4508: 1/2
答案4509: 5/8
答案4510: 6
答案4511: 7
答案4512: 5/6
答案4513: 5/18
答案4514: 5/16
答案4515: 7
答案4516: 5/14
答案4517: 5/12
答案4518: 4
答案4519: 1/21
答案4520: 17
答案4521: 16
答案4522: 15
答案4523: 7/9
答案4524: 4
答案4525: 3/14
答案4526: 18
答案4527: 7/36
答案4528: 8
答案4529: 19/24
答案4530: 1/12
答案4531: 1/180
答案4532: 7
答案4533: 3/7
答案4534: 5/14
答案4535: 12
答案4536: 9
答案4537: 2
答案4538: 5/162
答案4539: 5/81
答案4540: 5/27
答案4541: 3/4
答案4542: 5/108
答案4543: 5/336
答案4544: 8
答案4545: 9
答案4546: 14
答案4547: 12
答案4548: 13
答案4549: 10
答案4550: 5
答案4551: 8
答案4552: 6
答案4553: 11
答案4554: 9
答案4555: 7
答案4556: 3
答案4557: 4
答案4558: 4
答案4559: 2
答案4560: 1/3
答案4561: 1/12
答案4562: 14/75
答案4563: 3/4
答案4564: 5
答案4565: 3/5
答案4566: 1/280
答案4567: 6
答案4568: 2
答案4569: 1
答案4570: 4
答案4571: 11
答案4572: 3
答案4573: 16
答案4574: 36
答案4575: 2/7
答案4576: 4/15
答案4577: 3/10
答案4578: 2/3
答案4579: 5
答案4580: 41/240
答案4581: 70
答案4582: 80
答案4583: 50
答案4584: 60
答案4585: 1/27
答案4586: 90
答案4587: 30
答案4588: 40
答案4589: 10
答案4590: 20
答案4591: 8
答案4592: 5/7
答案4593: 7
答案4594: 10
答案4595: 9
答案4596: 12
答案4597: 11
答案4598: 14
答案4599: 13
答案4600: 8/63
答案4601: 3
答案4602: 5/14
答案4603: 2
答案4604: 14
答案4605: 10
答案4606: 4
答案4607: 13
答案4608: 6
答案4609: 12
答案4610: 15
答案4611: 17
答案4612: 18
答案4613: 7
答案4614: 7/256
答案4615: 1/6
答案4616: 3/5
答案4617: 1/3
答案4618: 3/8
答案4619: 19
答案4620: 1/3
答案4621: 20
答案4622: 13
答案4623: 1/2
答案4624: 20
答案4625: 2/3
答案4626: 1/3
答案4627: 7/96
答案4628: 6
答案4629: 17
答案4630: 1/18
答案4631: 1/84
答案4632: 4/105
答案4633: 15
答案4634: 7/9
答案4635: 8
答案4636: 7/8
答案4637: 12
答案4638: 13
答案4639: 10
答案4640: 4/5
答案4641: 8
答案4642: 2/21
答案4643: 1/12
答案4644: 10/49
答案4645: 15
答案4646: 1/36
答案4647: 2/9
答案4648: 1/6
答案4649: 2/15
答案4650: 7
答案4651: 1/9
答案4652: 18
答案4653: 2/7
答案4654: 2/9
答案4655: 1/5
答案4656: 1
答案4657: 2/27
答案4658: 4
答案4659: 11
答案4660: 14
答案4661: 7/360
答案4662: 14
答案4663: 13
答案4664: 2/27
答案4665: 13
答案4666: 9
答案4667: 8/9
答案4668: 1/3
答案4669: 3
答案4670: 5/144
答案4671: 16
答案4672: 9
答案4673: 19
答案4674: 1/18
答案4675: 1/90
答案4676: 1/24
答案4677: 1/30
答案4678: 1/9
答案4679: 1/36
答案4680: 13
答案4681: 1/42
答案4682: 1/48
答案4683: 1/54
答案4684: 4
答案4685: 2/9
答案4686: 2
答案4687: 6
答案4688: 5
答案4689: 1/6
答案4690: 2
答案4691: 1/12
答案4692: 1
答案4693: 6/35
答案4694: 7
答案4695: 1
答案4696: 4
答案4697: 1/360
答案4698: 1/15
答案4699: 16
答案4700: 20
答案4701: 1/12
答案4702: 6
答案4703: 8
答案4704: 16
答案4705: 17
答案4706: 14
答案4707: 2
答案4708: 7
答案4709: 6
答案4710: 17
答案4711: 7/72
答案4712: 4/735
答案4713: 12
答案4714: 14
答案4715: 5
答案4716: 4
答案4717: 3
答案4718: 2
答案4719: 13
答案4720: 10
答案4721: 0
答案4722: 19
答案4723: 3
答案4724: 8/15
答案4725: 2/9
答案4726: 1/9
答案4727: 11
答案4728: 8
答案4729: 3/14
答案4730: 2/63
答案4731: 4
答案4732: 5
答案4733: 2/105
答案4734: 6
答案4735: 7
答案4736: 4/81
答案4737: 10/21
答案4738: 12
答案4739: 5
答案4740: 4
答案4741: 3
答案4742: 4
答案4743: 2/27
答案4744: 4/27
答案4745: 1/27
答案4746: 18
答案4747: 14
答案4748: 1/1458
答案4749: 6
答案4750: 5/324
答案4751: 3/4
答案4752: 8
答案4753: 5
答案4754: 6
答案4755: 11
答案4756: 6
答案4757: 12
答案4758: 9
答案4759: 10
答案4760: 8
答案4761: 9
答案4762: 1/4
答案4763: 6/7
答案4764: 13
答案4765: 13
答案4766: 11
答案4767: 10
答案4768: 14
答案4769: 10
答案4770: 12
答案4771: 42
答案4772: 8
答案4773: 9/64
答案4774: 7
答案4775: 14
答案4776: 9/32
答案4777: 11
答案4778: 4
答案4779: 8
答案4780: 2
答案4781: 14
答案4782: 6
答案4783: 8
答案4784: 19/70
答案4785: 2/7
答案4786: 5/686
答案4787: 3/200
答案4788: 11
答案4789: 1/5
答案4790: 13
答案4791: 16
答案4792: 5/12
答案4793: 16
答案4794: 19
答案4795: 3/80
答案4796: 13
答案4797: 12
答案4798: 14
答案4799: 4
答案4800: 7/24
答案4801: 4
答案4802: 2/45
答案4803: 1/2
答案4804: 3/7
答案4805: 7
答案4806: 3
答案4807: 3/8
答案4808: 1/3
答案4809: 4
答案4810: 8
答案4811: 1/42
答案4812: 5
答案4813: 8/9
答案4814: 14
答案4815: 10
答案4816: 5/48
答案4817: 5/144
答案4818: 5/128
答案4819: 1/14
答案4820: 1/5
答案4821: 9
答案4822: 16
答案4823: 17
答案4824: 4/15
答案4825: 4/9
答案4826: 12
答案4827: 1/50
答案4828: 6
答案4829: 4
答案4830: 5/18
答案4831: 11
答案4832: 5
答案4833: 8/9
答案4834: 2/5
